product_name,product_price,image_url,mega_category,main_category,sub_category,mega_category_url,main_category_url,sub_category_url
Frost LED nattlampa,189.0,https://mymall.se/inredning-mobler/barnrummet/belysning/frost-led-nattlampa-628e52991f22d,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Paw Patrol LED Nattlampa,199.0,https://mymall.se/inredning-mobler/barnrummet/belysning/paw-patrol-led-nattlampa-627e24dd4742b,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Lampa - Karamell björn,329.0,https://mymall.se/inredning-mobler/barnrummet/belysning/lampa-karamell-bjrn-1304-111583,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Lampa - Blå björn,329.0,https://mymall.se/inredning-mobler/barnrummet/belysning/lampa-bl-bjrn-1304-111582,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Lampa - Rosa björn,329.0,https://mymall.se/inredning-mobler/barnrummet/belysning/lampa-rosa-bjrn-1304-111581,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Rött hjärta med LED,109.0,https://mymall.se/inredning-mobler/barnrummet/belysning/rott-hjarta-med-led-623ad2472d1db,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Månlampa mysbelysning 3D printad 8/12 cm,139.0,https://mymall.se/inredning-mobler/barnrummet/belysning/manlampa-mysbelysning-3d-printad-812-cm-622daeb47d045,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Nattlampa - Hund,429.0,https://mymall.se/inredning-mobler/barnrummet/belysning/nattlampa-hund-1304-114108,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Lampa - Mint björn,329.0,https://mymall.se/inredning-mobler/barnrummet/belysning/lampa-mint-bjrn-1304-114814,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Taklampa - Citroner,1249.0,https://mymall.se/inredning-mobler/barnrummet/belysning/taklampa-citroner-1304-93438,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
The Avengers Iron Man - LED-ficklampa 9 cm,89.0,https://mymall.se/inredning-mobler/barnrummet/belysning/the-avengers-iron-man-led-ficklampa-9-cm-1493-20762,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
The Avengers Captain America - LED-ficklampa 9 cm,89.0,https://mymall.se/inredning-mobler/barnrummet/belysning/the-avengers-captain-america-led-ficklampa-9-cm-1493-20764,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Disney Frozen LED-ficklampa 9 cm  - Blå,89.0,https://mymall.se/inredning-mobler/barnrummet/belysning/disney-frozen-led-ficklampa-9-cm-bl-1493-20770,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Disney Musse Pigg - LED-ficklampa 9 cm  - Blå,89.0,https://mymall.se/inredning-mobler/barnrummet/belysning/disney-musse-pigg-led-ficklampa-9-cm-bl-1493-20773,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Disney Musse Pigg - LED-ficklampa 9 cm  - Röd,89.0,https://mymall.se/inredning-mobler/barnrummet/belysning/disney-musse-pigg-led-ficklampa-9-cm-rd-1493-20774,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
